CraftID,CraftName,CraftTypeID,ProgramID
0,<NONE/EVA>,0,0
1,Mercury No. 7,1,1
2,Mercury No. 11,1,1
3,Mercury No. 13,1,1
4,Mercury No. 18,1,1
5,Mercury No. 16,1,1
6,Mercury No. 20,1,1
7,Gemini SC3,2,2
8,Gemini SC4,2,2
9,Gemini SC5,2,2
10,Gemini SC7,2,2
11,Gemini SC6,2,2
12,Gemini SC8,2,2
13,Gemini SC9,2,2
14,Gemini SC10,2,2
15,Gemini SC11,2,2
16,Gemini SC12,2,2
17,Apollo CSM-101,3,3
18,Apollo CSM-103,3,3
19,Apollo CSM-104,3,3
20,Apollo CSM-106,3,3
21,Apollo CSM-107,5,3
22,Apollo CSM-108,3,3
23,Apollo CSM-109,3,3
24,Apollo CSM-110,3,3
25,Apollo CSM-112,3,3
26,Apollo CSM-113,3,3
27,Apollo CSM-114,3,3
28,Apollo CSM-116,3,4
29,Apollo CSM-117,3,4
30,Apollo CSM-118,3,4
32,Apollo CSM-111,3,5
33,Space Shuttle Columbia,5,6
34,Space Shuttle Challenger,5,6
35,Space Shuttle Discovery,5,6
36,Space Shuttle Atlantis,5,6
37,Space Shuttle Endeavour,5,6
38,Mir,6,7
39,ISS,8,8
40,TMA-1,7,8
41,TMA-2,7,8
42,TMA-3,7,8
43,TMA-4,7,8
44,TMA-5,7,8
45,TMA-6,7,8
46,TMA-7,7,8
47,TMA-8,7,8
48,TMA-9,7,8
49,TMA-11,7,8
50,TMA-12,7,8; 13
51,TMA-13,7,8; 13
52,TMA-14,7,8; 13
53,TMA-16,7,8; 13
54,TMA-17,7,8
55,TMA-18,7,8
56,TMA-19,7,8
57,TMA-20,7,8
58,TMA-21,7,8
59,TMA-22,7,8
60,TM-21,7,8
61,TM-31,7,8
62,TMA-01M,7,8
63,TMA-03M,7,8
64,TMA-04M,7,8
65,TMA-05M,7,8
66,TMA-06M,7,8
67,TMA-07M,7,8
68,VSS Unity,9,10
69,RSS First Step,10,12
70,Crew Dragon Resilience,11,13; 15
71,Crew Dragon Endeavour,11,14
72,Crew Dragon Freedom,11,14
